v1: 0, 86, 0, 0, 0, 81, 48, 26, 41, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 
v2: 0, 0, 0, 0, 0, 0, 0, 0, 1, 79, 14, 29, 0, 0, 0, 0, 0, 0, 0, 
v3: 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 
v4: 41, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 58, 0, 0, 0, 0, 
v5: 99, 74, 3, 94, 76, 9, 45, 3, 38, 7, 72, 45, 13, 66, 14, 41, 6, 78, 45, 
v6: 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
v7: 89, 98, 0, 74, 32, 88, 68, 0, 46, 64, 0, 65, 0, 60, 82, 28, 44, 41, 70, 
v8: 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
v9: 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 75, 20, 0, 0, 0, 0, 53, 
v10: 0, 0, 0, 0, 50, 0, 2, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 93, 
v11: 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 5, 0, 0, 0, 
v12: 33, 0, 1, 0, 0, 0, 0, 59, 19, 0, 0, 78, 0, 0, 0, 0, 14, 79, 0, 
v13: 73, 66, 42, 79, 97, 16, 24, 56, 36, 90, 100, 0, 6, 41, 78, 10, 68, 0, 85, 
v14: 0, 17, 0, 0, 24, 0, 65, 0, 0, 0, 80, 0, 0, 0, 25, 77, 0, 0, 0, 
v15: 78, 66, 0, 18, 0, 71, 0, 80, 0, 0, 25, 14, 7, 42, 45, 20, 40, 0, 34, 
v16: 0, 34, 16, 0, 76, 10, 29, 63, 63, 13, 0, 0, 7, 63, 25, 0, 85, 54, 0, 
v17: 0, 76, 0, 0, 0, 13, 0, 7, 87, 9, 0, 0, 0, 12, 0, 0, 13, 70, 68, 
v18: 96, 92, 14, 17, 46, 6, 0, 69, 21, 0, 87, 67, 0, 0, 0, 0, 0, 57, 0, 
v19: 2, 0, 67, 64, 37, 93, 22, 52, 0, 37, 39, 0, 80, 63, 73, 0, 17, 78, 85, 
