v1: 97, 0, 49, 4, 0, 76, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 
v2: 58, 54, 59, 0, 76, 45, 74, 27, 5, 0, 63, 0, 0, 12, 78, 8, 41, 0, 36, 
v3: 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 4, 43, 0, 0, 0, 0, 
v4: 0, 86, 34, 0, 0, 0, 21, 0, 11, 0, 0, 76, 38, 0, 81, 15, 2, 36, 73, 
v5: 0, 0, 12, 58, 30, 83, 54, 0, 0, 63, 70, 0, 53, 57, 82, 15, 0, 66, 61, 
v6: 73, 63, 41, 96, 12, 54, 68, 23, 66, 75, 17, 32, 42, 12, 59, 5, 68, 56, 52, 
v7: 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 
v8: 36, 46, 37, 0, 30, 13, 94, 34, 7, 70, 0, 38, 23, 0, 32, 0, 52, 37, 76, 
v9: 45, 0, 37, 0, 0, 0, 71, 0, 0, 0, 32, 52, 0, 0, 0, 0, 75, 40, 0, 
v10: 0, 0, 24, 54, 65, 18, 0, 0, 49, 0, 40, 0, 11, 0, 0, 0, 0, 0, 20, 
v11: 23, 55, 39, 71, 70, 55, 0, 40, 54, 0, 6, 18, 4, 33, 83, 79, 60, 32, 9, 
v12: 0, 78, 76, 94, 77, 85, 1, 67, 87, 25, 81, 20, 0, 59, 19, 2, 0, 97, 0, 
v13: 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
v14: 0, 0, 64, 0, 8, 84, 0, 87, 51, 42, 0, 75, 0, 18, 53, 0, 0, 0, 0, 
v15: 0, 0, 0, 19, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 2, 0, 
v16: 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 99, 0, 18, 0, 0, 0, 
v17: 0, 35, 0, 78, 0, 0, 0, 0, 38, 0, 0, 10, 99, 0, 0, 0, 12, 0, 33, 
v18: 2, 70, 64, 0, 60, 83, 5, 3, 29, 35, 44, 67, 6, 33, 81, 37, 37, 28, 45, 
v19: 96, 97, 28, 43, 0, 58, 21, 28, 0, 60, 41, 0, 0, 0, 89, 23, 63, 0, 71, 
